_row_idx,task,prefill_time,decode_time,total_time,prompt_tokens,completion_tokens,total_tokens
0,SUMMARIZATION,0.05343494936823845,2.2915051206946373,2.3449400700628757,2584,500,3084
1,SUMMARIZATION,0.052746713161468506,1.8993413671851158,1.9520880803465843,3043,411,3454
2,SUMMARIZATION,0.030734259635210037,1.9193865768611431,1.9501208364963531,1838,426,2264
3,SUMMARIZATION,0.05339650996029377,2.311905598267913,2.3653021082282066,3021,500,3521
4,SUMMARIZATION,0.0481990072876215,1.7448326479643583,1.7930316552519798,2828,379,3207
5,SUMMARIZATION,0.05085095018148422,2.2646932881325483,2.3155442383140326,2730,492,3222
6,SUMMARIZATION,0.040688516572117805,2.2667635679244995,2.3074520844966173,2129,500,2629
7,SUMMARIZATION,0.053327638655900955,2.3100535552948713,2.3633811939507723,2960,500,3460
8,SUMMARIZATION,0.0529806986451149,1.7912785448133945,1.8442592434585094,2934,388,3322
9,SUMMARIZATION,0.05578560754656792,2.3253643810749054,2.3811499886214733,3318,500,3818
10,SUMMARIZATION,0.03298730030655861,2.1653266828507185,2.198313983157277,2103,478,2581
11,SUMMARIZATION,0.04950951971113682,2.2978430092334747,2.3473525289446115,2643,500,3143
12,SUMMARIZATION,0.05302046239376068,2.309656159952283,2.3626766223460436,2940,500,3440
13,SUMMARIZATION,0.04449773207306862,2.287508687004447,2.3320064190775156,2504,500,3004
14,SUMMARIZATION,0.026840465143322945,1.1528051327914,1.179645597934723,1573,258,1831
15,SUMMARIZATION,0.04112563468515873,1.3344251848757267,1.3755508195608854,2133,295,2428
16,SUMMARIZATION,0.05063332989811897,2.303306145593524,2.353939475491643,2754,500,3254
17,SUMMARIZATION,0.04203447699546814,2.2966405618935823,2.3386750388890505,2619,500,3119
18,SUMMARIZATION,0.04198041558265686,2.1901293229311705,2.2321097385138273,2614,477,3091
19,SUMMARIZATION,0.05131547525525093,2.3005450405180454,2.3518605157732964,2724,500,3224
20,SUMMARIZATION,0.04009549506008625,2.2764465119689703,2.3165420070290565,2305,500,2805
21,SUMMARIZATION,0.031024744734168053,2.1255747321993113,2.1565994769334793,1808,472,2280
22,SUMMARIZATION,0.051902858540415764,2.308190381154418,2.3600932396948338,2902,500,3402
23,SUMMARIZATION,0.05349099636077881,1.6441178750246763,1.6976088713854551,2994,356,3350
24,SUMMARIZATION,0.05263189412653446,1.8250583987683058,1.8776902928948402,3042,395,3437
25,SUMMARIZATION,0.044073471799492836,2.2660591546446085,2.3101326264441013,2527,495,3022
26,SUMMARIZATION,0.04946617968380451,1.5253405198454857,1.5748066995292902,2767,332,3099
27,SUMMARIZATION,0.05342555791139603,2.310504984110594,2.36393054202199,2988,500,3488
28,SUMMARIZATION,0.05298351123929024,1.908777104690671,1.9617606159299612,3039,413,3452
29,SUMMARIZATION,0.050585852935910225,2.3032949790358543,2.3538808319717646,2765,500,3265
30,SUMMARIZATION,0.05225025676190853,1.729953296482563,1.7822035532444715,2655,377,3032
31,SUMMARIZATION,0.05551031976938248,2.3262453638017178,2.3817556835711002,3337,500,3837
32,SUMMARIZATION,0.04956541955471039,2.248699864372611,2.2982652839273214,2669,489,3158
33,SUMMARIZATION,0.041001107543706894,2.2758061848580837,2.3168072924017906,2256,500,2756
34,SUMMARIZATION,0.05008327215909958,2.1352324038743973,2.185315676033497,2757,464,3221
35,SUMMARIZATION,0.05718521401286125,2.2192892115563154,2.2764744255691767,3219,478,3697
36,SUMMARIZATION,0.049341870471835136,1.5868279971182346,1.6361698675900698,2776,345,3121
37,SUMMARIZATION,0.04377165623009205,2.2902319375425577,2.3340035937726498,2539,500,3039
38,SUMMARIZATION,0.05734856612980366,2.320747062563896,2.3780956286937,3191,500,3691
39,SUMMARIZATION,0.04482809826731682,2.2847185265272856,2.3295466247946024,2454,500,2954
40,SUMMARIZATION,0.05066266469657421,2.302618956193328,2.353281620889902,2741,500,3241
41,SUMMARIZATION,0.049610525369644165,1.9854750353842974,2.0350855607539415,2667,432,3099
43,SUMMARIZATION,0.052897242829203606,1.537296824157238,1.5901940669864416,2946,333,3279
44,SUMMARIZATION,0.05233398824930191,2.308060685172677,2.360394673421979,2907,500,3407
45,SUMMARIZATION,0.05025114119052887,2.0208970699459314,2.0711482111364603,2768,439,3207
46,SUMMARIZATION,0.05701553449034691,2.320422111079097,2.3774376455694437,3196,500,3696
47,SUMMARIZATION,0.04881994612514973,2.3032167199999094,2.352036666125059,2821,500,3321
48,SUMMARIZATION,0.04463752545416355,1.7665823753923178,1.8112199008464813,2489,387,2876
49,SUMMARIZATION,0.050858307629823685,1.6215862985700369,1.6724446061998606,2721,353,3074
50,SUMMARIZATION,0.044240789487957954,2.2836605068296194,2.3279012963175774,2429,500,2929
51,SUMMARIZATION,0.035870352759957314,2.261597963050008,2.297468315809965,1986,500,2486
52,SUMMARIZATION,0.05266370251774788,2.3137820791453123,2.36644578166306,3054,500,3554
53,SUMMARIZATION,0.03509785607457161,2.2227029222995043,2.257800778374076,1918,492,2410
54,SUMMARIZATION,0.05228419788181782,1.853572305291891,1.905856503173709,2881,402,3283
55,SUMMARIZATION,0.043250251561403275,1.8810563758015633,1.9243066273629665,2565,411,2976
56,SUMMARIZATION,0.0529157929122448,2.314799379557371,2.367715172469616,3040,500,3540
57,SUMMARIZATION,0.04766390658915043,2.3056983668357134,2.353362273424864,2843,500,3343
58,SUMMARIZATION,0.05552308447659016,2.3199797589331865,2.3755028434097767,3167,500,3667
59,SUMMARIZATION,0.043746741488575935,2.2841980662196875,2.3279448077082634,2434,500,2934
60,SUMMARIZATION,0.0493460837751627,2.3070120811462402,2.356358164921403,2812,500,3312
61,SUMMARIZATION,0.054095519706606865,1.825249569490552,1.8793450891971588,3004,395,3399
62,SUMMARIZATION,0.05274450033903122,1.5019000004976988,1.55464450083673,3051,325,3376
63,SUMMARIZATION,0.04364791698753834,2.134910024702549,2.1785579416900873,2548,466,3014
64,SUMMARIZATION,0.05085460841655731,2.0603779964149,2.111232604831457,2722,448,3170
65,SUMMARIZATION,0.055847425013780594,1.4614583030343056,1.5173057280480862,3318,315,3633
66,SUMMARIZATION,0.035611823201179504,2.0114271584898233,2.047038981691003,1983,445,2428
67,SUMMARIZATION,0.043378500267863274,2.0051288213580847,2.048507321625948,2562,438,3000
68,SUMMARIZATION,0.04858464375138283,1.9217138160020113,1.9702984597533941,2827,417,3244
69,SUMMARIZATION,0.035677239298820496,1.8548868540674448,1.8905640933662653,1960,411,2371
70,SUMMARIZATION,0.04632990434765816,2.3072037529200315,2.3535336572676897,2879,500,3379
71,SUMMARIZATION,0.03543831966817379,2.261049572378397,2.2964878920465708,1949,500,2449
72,SUMMARIZATION,0.055203868076205254,1.5766080897301435,1.6318119578063488,3365,339,3704
73,SUMMARIZATION,0.05529326573014259,2.1027904748916626,2.158083740621805,3367,452,3819
74,SUMMARIZATION,0.05322960950434208,1.141512954607606,1.194742564111948,3043,247,3290
75,SUMMARIZATION,0.049998193979263306,2.3177276514470577,2.367725845426321,3125,500,3625
76,SUMMARIZATION,0.04247185029089451,1.9948304258286953,2.03730227611959,2599,435,3034
77,SUMMARIZATION,0.05230572633445263,2.1423128712922335,2.194618597626686,3065,463,3528
78,SUMMARIZATION,0.05542443506419659,2.30846237950027,2.3638868145644665,2920,500,3420
79,SUMMARIZATION,0.04785138927400112,2.307170959189534,2.3550223484635353,2839,500,3339
80,SUMMARIZATION,0.04948999546468258,1.9728564508259296,2.022346446290612,2633,430,3063
81,SUMMARIZATION,0.05555208772420883,1.3138442244380713,1.36939631216228,3141,284,3425
82,SUMMARIZATION,0.051325224339962006,2.2610019966959953,2.3123272210359573,3102,488,3590
83,SUMMARIZATION,0.04010327532887459,1.9915941059589386,2.031697381287813,2307,438,2745
84,SUMMARIZATION,0.052168406546115875,2.307760475203395,2.3599288817495108,2885,500,3385
85,SUMMARIZATION,0.06054135225713253,2.140308301895857,2.2008496541529894,3452,459,3911
86,SUMMARIZATION,0.05356551520526409,2.3109237011522055,2.3644892163574696,2961,500,3461
88,SUMMARIZATION,0.0386849008500576,2.282110331580043,2.3207952324301004,2368,500,2868
89,SUMMARIZATION,0.024153077974915504,1.7426553182303905,1.766808396205306,1126,393,1519
90,SUMMARIZATION,0.02453586459159851,1.3289666306227446,1.353502495214343,1278,299,1577
91,SUMMARIZATION,0.04238962382078171,2.295293288305402,2.3376829121261835,2605,500,3105
92,SUMMARIZATION,0.02956416644155979,1.7459023036062717,1.7754664700478315,1445,391,1836
93,SUMMARIZATION,0.03515762649476528,2.1175442431122065,2.1527018696069717,1918,469,2387
94,SUMMARIZATION,0.035856593400239944,2.2607158571481705,2.2965724505484104,1990,500,2490
95,SUMMARIZATION,0.04905226454138756,2.304651888087392,2.3537041526287794,2809,500,3309
96,SUMMARIZATION,0.04891868494451046,1.67768151499331,1.7266001999378204,2642,366,3008
97,SUMMARIZATION,0.05578834377229214,2.310016240924597,2.365804584696889,2910,500,3410
98,SUMMARIZATION,0.040674082934856415,2.0905669443309307,2.131241027265787,2157,461,2618
99,SUMMARIZATION,0.05197914317250252,2.0684734396636486,2.120452582836151,3075,447,3522
100,SUMMARIZATION,0.04943196661770344,1.3666995167732239,1.4161314833909273,2805,297,3102
101,SUMMARIZATION,0.05659334920346737,1.6707658767700195,1.727359225973487,3264,360,3624
102,SUMMARIZATION,0.030459683388471603,1.9050944540649652,1.9355541374534369,1846,423,2269
103,SUMMARIZATION,0.05210930481553078,1.7904734648764133,1.8425827696919441,2913,388,3301
104,SUMMARIZATION,0.0528710912913084,2.310270670801401,2.3631417620927095,2944,500,3444
105,SUMMARIZATION,0.0491781122982502,1.8572283517569304,1.9064064640551805,2635,405,3040
106,SUMMARIZATION,0.05330223590135574,2.0562203601002693,2.109522596001625,2977,445,3422
107,SUMMARIZATION,0.046994928270578384,2.309544861316681,2.3565397895872593,2874,500,3374
108,SUMMARIZATION,0.04359707608819008,1.7814999110996723,1.8250969871878624,2379,391,2770
109,SUMMARIZATION,0.04953107237815857,2.1191391311585903,2.168670203536749,2675,461,3136
110,SUMMARIZATION,0.04283995367586613,2.2949001118540764,2.3377400655299425,2588,500,3088
111,SUMMARIZATION,0.05140380747616291,2.2373432517051697,2.2887470591813326,2716,486,3202
112,SUMMARIZATION,0.05640048161149025,1.6737258601933718,1.730126341804862,3233,361,3594
