_row_idx,task,prefill_time,decode_time,total_time,prompt_tokens,completion_tokens,total_tokens
0,SUMMARIZATION,0.015394508838653564,0.7327220495790243,0.7481165584176779,2584,481,3065
1,SUMMARIZATION,0.012925952672958374,0.38470703549683094,0.3976329881697893,3043,252,3295
2,SUMMARIZATION,0.008476119488477707,0.5474525280296803,0.555928647518158,1838,365,2203
3,SUMMARIZATION,0.013045508414506912,0.7526369001716375,0.7656824085861444,3021,492,3513
4,SUMMARIZATION,0.011980652809143066,0.6333208698779345,0.6453015226870775,2828,415,3243
5,SUMMARIZATION,0.01230478473007679,0.2875354737043381,0.29984025843441486,2730,190,2920
6,SUMMARIZATION,0.010364040732383728,0.635777810588479,0.6461418513208628,2129,421,2550
7,SUMMARIZATION,0.012868363410234451,0.7643275000154972,0.7771958634257317,2960,500,3460
8,SUMMARIZATION,0.013061996549367905,0.67223702929914,0.6852990258485079,2934,440,3374
9,SUMMARIZATION,0.013774847611784935,0.7682658527046442,0.7820407003164291,3318,500,3818
10,SUMMARIZATION,0.008940450847148895,0.4008015841245651,0.409742034971714,2103,266,2369
11,SUMMARIZATION,0.012157183140516281,0.5348335187882185,0.5469907019287348,2643,352,2995
12,SUMMARIZATION,0.012712543830275536,0.7644006367772818,0.7771131806075573,2940,500,3440
13,SUMMARIZATION,0.011309638619422913,0.7586917504668236,0.7700013890862465,2504,500,3004
14,SUMMARIZATION,0.008152035996317863,0.7482509687542915,0.7564030047506094,1573,500,2073
15,SUMMARIZATION,0.010195771232247353,0.33750647492706776,0.3477022461593151,2133,224,2357
16,SUMMARIZATION,0.012282878160476685,0.5976339485496283,0.6099168267101049,2754,393,3147
17,SUMMARIZATION,0.010937783867120743,0.5819906201213598,0.5929284039884806,2619,383,3002
18,SUMMARIZATION,0.011108946055173874,0.3763941377401352,0.38750308379530907,2614,249,2863
19,SUMMARIZATION,0.011972054839134216,0.7622794043272734,0.7742514591664076,2724,500,3224
20,SUMMARIZATION,0.010546265169978142,0.5290200486779213,0.5395663138478994,2305,350,2655
21,SUMMARIZATION,0.00865270011126995,0.2537430953234434,0.26239579543471336,1808,170,1978
22,SUMMARIZATION,0.012645147740840912,0.5924259163439274,0.6050710640847683,2902,388,3290
23,SUMMARIZATION,0.01309414766728878,0.7675819434225559,0.7806760910898447,2994,500,3494
